id,sura,aya,translation,footnotes
895,6,106,Follow [O Prophet] what is revealed to you from your Lord – none has the right to be worshiped except Him – and turn away from those who associate partners with Allah.,
896,6,107,"If Allah had willed, they would not have associated partners with Him. We have not made you a keeper over them, nor are you their trustee[35].",[35] Your duty is only to deliver the message.
897,6,108,"Do not revile those whom they supplicate besides Allah, lest they revile Allah out of spite and lack of knowledge. This is how We made the deeds of every people appealing to them. Then to their Lord is their return, and He will inform them of what they used to do.",
898,6,109,"They swear by Allah their most solemn oaths that if a sign came to them, they would certainly believe in it. Say [O Prophet], “Signs are only with Allah.” How do you know that even if it came to them, they would still not believe?",
899,6,110,"We will turn their hearts and eyes away [from the truth] just as they refused to believe in it the first time, and We will leave them to wander blindly in their obstinacy.",
900,6,111,"Even if We did send the angels down to them, and the dead spoke to them, and We gathered before them everything, they would still not believe, unless Allah so willed, but most of them are ignorant.",
901,6,112,"Similarly did We make for every prophet enemies, devils from among men and jinn, whispering to one another alluring words of delusion. If Allah had willed, they would not have done so. So leave them to their fabrications,",
902,6,113,"so that the hearts of those who disbelieve in the Hereafter may incline towards it and be pleased with it, and may commit whatever sins they want.",
903,6,114,"[Say], “Should I seek a judge other than Allah when He is the One Who has sent down to you the Book explained in detail?” Those whom We gave the Book know that it has been sent down from your Lord in truth, so never be among those who doubt.",
904,6,115,"The Word of your Lord is perfect in truthfulness and justice; none can change His Words[36], and He is the All-Hearing, the All-Knowing.","[36] Allah says: “It is We Who have sent down the Reminder [the Qur’an], and it is We Who will preserve it.” See 15:9."
905,6,116,"If you obey most of those on earth, they will lead you away from the way of Allah. They follow nothing but assumptions and they do nothing but lie.",
906,6,117,"Your Lord knows best who strays from His way, and He knows best those who are guided.",
907,6,118,So eat of that [meat] over which the name of Allah is mentioned[37] if you [truly] believe in his verses.,[37] Upon slaughtering it.
908,6,119,"Why should you not eat of that over which the name of Allah is mentioned when He has expounded clearly what is forbidden to you, unless you are compelled by necessity[38]? Indeed, many [deviants] lead others astray by their desires, without any knowledge. Your Lord knows best the transgressors.",[38] Allah says: “But if someone is compelled by necessity – neither driven by desire nor exceeding immediate need – then there is no sin upon him.” See 2:173.
909,6,120,"Avoid committing sin, whether openly or in secret. Indeed, those who commit sin will be recompensed for what they used to do.",
910,6,121,"Do not eat of that [meat] over which the name of Allah is not mentioned, for this is a grave disobedience. But the devils whisper to their [human] friends to argue with you; if you were to obey them[39], you would surely become polytheists.",[39] As obedience being the basis of worship.
911,6,122,Is the one who was dead and We gave him life [by faith] and gave him a light with which he walks among people like the one in darkness from which he can never escape[40]? This is how the deeds of the disbelievers have been made appealing to them.,[40] The simile given here is about someone who is guided by light of guidance and someone who is bereft of the light of guidance.
912,6,123,"Thus We have placed in every city the most wicked ones to conspire in it, yet they only conspire against themselves, without even realizing it.",
913,6,124,"When a sign comes to them, they say, “We will never believe until we are given the like of what was given to the messengers of Allah.” Allah knows best where to place His message. Those who are wicked will be afflicted with disgrace from Allah and a severe punishment for their plots.",
914,6,125,"Whoever Allah wills to guide, He opens his heart to Islam; and whoever He wills to lead astray, He makes his heart tight and constricted[41], as if he were climbing up into the sky. This is how Allah punishes those who do not believe.",[41] Due to his arrogance and persistence in sin.
915,6,126,This is the straight path of your Lord. We have made the verses clear for people who take heed.,
916,6,127,"They will have the Home of Peace with their Lord, and He will be their Protector because of what they used to do.",
917,6,128,"On the Day when He will gather them all together [saying], “O assembly of jinn, you have misled many humans.” Their human friends will say, “Our Lord, we have benefited from one another[42], but now we have reached our term which You appointed for us.” He will say, “The Fire is your abode, abiding therein forever, except if Allah wills otherwise.” Your Lord is All-Wise, All-Knowing.",[42] The jinn enjoyed the humans by obeying and worshiping them and the humans enjoyed the jinn by fulfilling their wishes and gratifying their lusts.
918,6,129,This is how We make the wrongdoers take control over one another[43] because of what they used to do.,[43] By misguiding and inciting to do evil deeds.
919,6,130,"“O assembly of jinn and humans, did there not come to you messengers from among you, reciting to you My verses and warning you of meeting this Day of yours?” They will say, “We testify against ourselves.” They were deluded by the life of this world, and they will testify against themselves that they were disbelievers.",
920,6,131,This is because your Lord would never destroy a town for their wrongdoing while its people are unaware [of the truth].,
921,6,132,"Everyone will be assigned ranks according to their deeds, for your Lord is not unaware of what they do.",
922,6,133,"Your Lord is the Self-Sufficient and full of Mercy. If He wills, He can take you away and replace you with whoever He wills, just as He brought you forth from the offspring of other people.",
923,6,134,"Indeed, what you have been promised will come to pass, and you will have no escape.",
924,6,135,"Say [O Prophet], “O my people, carry on in your way, and so will I; you will come to know who will have the [best] ultimate abode. Indeed, the wrongdoers will never succeed.”",
925,6,136,"They assign to Allah a portion of the crops and livestock He created, saying, “This is for Allah” – as they claim – “and this is for our partners [i.e., idols].” But that which is assigned for their partners does not reach Allah, while that which is assigned for Allah reaches their partners[44]. How unfair their judgment is!","[44] It was an Arab heathen ritual to allocate two shares out of their livestock; a share for God and a share for idols. If a portion of God’s share was mixed with that of their idols, they would not deduct it, saying that God is in no need of it. Yet if a portion of their idols’ share fell with that of God’s they would readily cut it and add it on to their idols’ share."
926,6,137,"Similarly, the evil associates of the pagans have made the killing of their children[45] appealing to them, in order to lead them to destruction and confuse them in their faith. If Allah had willed, they would not have done that. So leave them to their fabrications.",[45] Out of fear of poverty.
927,6,138,"They say, “These livestock and crops are reserved, none may eat them except those[46] whom we wish,” – as they claim – and there are livestock whose backs are forbidden [from labor][47], and livestock over whom they do not mention the name of Allah [while slaughtering] – fabricating lies against Him[48]. He will punish them for their lies.","[46] i.e., the servants of idols and others.
 [47] The four categories of grazing livestock were dedicated to their idols and false deities, and they were forbidden from riding and labor. See 5:103.
 [48] i.e., false claims that these practices are part of Allah’s religion."
928,6,139,"They also say, “What is in the bellies of these livestock[49] is exclusively for our males and forbidden to our females, but if it is stillborn, they all will have a share in it. He will punish them for what they attribute[50]. He is All-Wise, All-Knowing.","[49] i.e., their milk and offspring.
 [50] i.e., for making things lawful and unlawful as they wish."
929,6,140,Losers indeed are those who kill their children foolishly out of ignorance and prohibit what Allah has provided for them – fabricating lies against Him. They have gone astray and are not guided.,
930,6,141,"It is He Who brings into being gardens – trellised and untrellised – and palm trees and crops of different flavors, and olives and pomegranates – similar [in shape] yet different [in taste]. Eat of their fruit when they bear fruit and give out its due on the day of harvest. But do not be wasteful, for He does not like those who are wasteful.",
931,6,142,"Among livestock are some that carry loads and others not. Eat of what Allah has provided for you, and do not follow the footsteps of Satan[51], for He is your sworn enemy.",[51] By falsely making some provisions lawful and others unlawful.
932,6,143,"[They are] eight [in four] pairs: a pair of sheep and a pair of goats. Say, “Has He forbidden the two males or the two females, or what the wombs of the two females contain? Tell me on the basis of knowledge, if you are truthful.”",
933,6,144,"Likewise, a pair of camels and a pair of cattle. Say, “Has He forbidden the two males or the two females, or what the wombs of the two females contain? Or were you present when Allah gave you this commandment?” So who does greater wrong than the one who fabricates lies against Allah in order to mislead people without knowledge? Allah does not guide the wrongdoing people.",
934,6,145,"Say [O Prophet], “I do not find in what has been revealed to me anything forbidden to eat except carrion, running blood or the swine flesh – which is impure – or a sinful offering in the name of other than Allah. However, if someone is compelled by necessity – neither driven by desire nor transgressing due limit – then your Lord is All-Forgiving, Most Merciful.”",
935,6,146,"To the Jews We forbade every animal of undivided hooves[52], and of the cattle and sheep, We forbade their fat except what attaches to their backs or intestines, or what sticks to their bones. This is how We recompensed them for their transgression, and We are Truthful.","[52] i.e., clawed animals that have nails in their toes, e.g. camels, ostriches, etc."
936,6,147,"But if they reject you [O Prophet], then say, “Your Lord is the possessor of infinite mercy, but His punishment cannot be averted from the wicked people.”",
937,6,148,"Those who associate partners with Allah will say, “If Allah had willed, neither we nor our forefathers would have associated anything with Him, nor would we have made anything forbidden[53].” Likewise, those who came before them rejected the truth until they tasted Our punishment. Say, “Do you have any knowledge that you can present to us? You follow nothing but assumption and you do nothing but lie.","[53] They falsely argue by citing predestination (al-qadar), when they were given the choice of choosing the right or wrong path."
938,6,149,"Say, “Allah alone has the most conclusive argument. If He had willed, He could have guided you all.”",
939,6,150,"Say [O Prophet], “Bring your witnesses who can testify that Allah has forbidden all this.” If they testify, do not testify with them. Do not follow the desires of those who reject Our verses, and who disbelieve in the Hereafter, and they set up equals to their Lord.",
940,6,151,"Say [O Prophet], “Come, I will recite to you what your Lord has forbidden to you: do not associate any partners with Him[54], and honor your parents. Do not kill your children for fear of poverty, for We provide for you and for them. Do not approach shameful acts, whether openly or in secret. Do not kill the soul sanctified by Allah, except lawfully. This is what He commands you, so that you may understand.","[54] Monotheism (tawhīd) is the fountainhead of all virtue, whereas associating others with Allah (shirk) is the source of all evil."
941,6,152,"Do not approach the orphan’s property, except to improve it, until he attains maturity. Give full measure and weight with justice. We do not burden any soul beyond what it can bear. And maintain justice when you speak, even if it be about a close relative. And fulfill the covenant of Allah. This is what He commands you, so that you may take heed.",
942,6,153,"This is My straight path; follow it and do not follow other ways, lest they lead you away from His way. This is what He commands you, so that you may become righteous.”",
943,6,154,"Then We gave Moses the Scripture, completing [Our favor] upon those who do good, and explaining everything in detail, and as a guidance and a mercy, so that they may believe in their meeting with their Lord.",
944,6,155,"This [Qur’an] is a blessed Book which We have sent down, so follow it and fear Allah, so that you may be shown mercy.",
945,6,156,"You [pagans] may no longer say, “Scriptures were only sent down to two groups before us, and we were unaware of their teachings.”",
946,6,157,"Or you would say, “If only the Scriptures had been sent down to us, we would have been better guided than they.” Now there has come to you a clear proof from your Lord, a guidance and a mercy. Who does greater wrong than he who denies the verses of Allah and turns away from them? We will recompense those who turn away from Our verses with the worst punishment, for their turning away.",
947,6,158,"Are they waiting for the coming of the angels, or the coming of your Lord, or the coming of some of your Lord’s signs[55]? On the Day when some of your Lord’s signs come, belief will be of no benefit to those who did not believe before, or those who did not do some good through their faith. Say, “Wait then; we too are waiting.”","[55] These denoting the approach of the Last Hour: angel of death, Allah’s judgment on the Day of Judgment, or signs of the Hour."
948,6,159,"Those who have made divisions in their religion and turned into factions[56], you have nothing to do with them. Their case rests with Allah alone; He will inform them of what they used to do.",[56] The People of the Book or others.
949,6,160,"Whoever comes with a good deed will be rewarded tenfold, but whoever comes with an evil deed will only be punished with its like, and none will be wronged.",
950,6,161,"Say [O Prophet], “Indeed, my Lord has guided me to a straight path, an upright religion, the faith of Abraham, inclining to the true faith[57], and he was not one of those who associate partners with Allah.”",[57] See 2:135.
951,6,162,"Say, “Indeed, my prayer, my sacrifice, my living and my dying are all for Allah[58], Lord of the worlds.","[58] One should dedicate all acts of worship to Allah, and rely upon Him in every aspect of life and death."
952,6,163,"He has no partner. This is what I have been commanded, and I am the first to submit to Allah.”",
953,6,164,"Say [O Prophet], “Should I seek a lord other than Allah, when He is the Lord of everything?” Every soul will face the consequences of its actions. No bearer of burden will bear the burden of another. Then to your Lord is your return, and He will inform you concerning that over which you used to differ.",
954,6,165,"It is He Who has made you successors on earth and raised some of you over others in ranks, so that He may test you with that which He has given you. Your Lord is swift in punishment, and He is All-Forgiving, Most Merciful.",
955,7,1,Alif Lām Mīm Sād[1].,[1] See footnote 2:1.
956,7,2,"This is a Book that has been sent down to you [O Prophet], so do not let your heart be troubled by it; so that you may warn thereby and as a reminder to the believers.",
957,7,3,"Follow [O mankind] what has been sent down to you from your Lord, and do not follow any guardians besides Him. Little it is that you take heed!",
958,7,4,"How many towns We have destroyed, and Our punishment came upon them at night or while they were taking midday rest.",
959,7,5,"Their only cry, when Our punishment came upon them, was, “We were indeed wrongdoers.”",
960,7,6,"So We will surely question those to whom the messengers were sent, and We will surely question the messengers themselves.",
961,7,7,"Then We will surely give them a full account [of their deeds] on the basis of knowledge, for We were never absent.",
962,7,8,"The weighing [of deeds] on that Day will be true and just. Those whose scales [of good deeds] are heavy, it is they who will be successful.",
963,7,9,"But those whose scales are light, it is they who have lost their own souls, because they wrongfully rejected Our verses.",
964,7,10,We established you on earth and provided you with means of livelihood therein. Little do you give thanks.,
965,7,11,"We surely created you, then shaped you, then We said to the angels, “Prostrate before Adam,” so they prostrated, except Iblīs [i.e., Satan], who was not one of those who prostrated[2].",[2] See 2:34.
966,7,12,"Allah said, “What prevented you from prostrating when I ordered you?” He said, “I am better than him; You created me from fire and created him from clay.”",
967,7,13,"Allah said, “Then get down from here! It is not for you to show arrogance[3] here. Get out, for you are one of the disgraced.”",[3] The Prophet (ﷺ) said: “None who has a mote’s weight of arrogance in his heart shall enter Paradise.” [Muslim: 91].
968,7,14,"He said, “Grant me respite until the Day they are resurrected.”",
969,7,15,"Allah said, “You are of those who are granted respite’’.",
970,7,16,"He said, “Since You have led me astray[4], I will certainly lie in wait for them on Your straight path.","[4] By citing predestination (al-qadar), Satan sets the record for being the first to use al-qadar as a pretext for not following Allah’s command (al-’amr) as an excuse to justify his rebelliousness against Him."
971,7,17,"Then I will come against them from their front and from their back, from their right and from their left[5], and You will not find most of them grateful.”",[5] This shows how purposeful and determined Satan really is in his mission. Such an enemy should be guarded against with constant vigilance.
972,7,18,"Allah said, “Get out of here, disgraced and expelled! I will certainly fill Hell with you and those who follow you all together.”",
973,7,19,"“O Adam, dwell in Paradise, you and your wife, and eat from wherever you wish, but do not approach this tree, or else you will both be among the wrongdoers.”",
974,7,20,"Then Satan whispered to them in order to expose what was hidden from them of their private parts. He said, “Your Lord has only forbidden to you this tree to prevent you from becoming angels or immortals.”",
975,7,21,"And he swore to them, “I am indeed your sincere adviser.”",
976,7,22,"So he deluded them both with deception. When they tasted the tree, their private parts became visible to them, so they began to put together leaves of the Garden to cover themselves. Their Lord called them, “Did I not forbid you from that tree and tell you that Satan is your sworn enemy?”",
977,7,23,"They said, “Our Lord, we have wronged ourselves; if You do not forgive us and have mercy upon us, we will surely be among the losers.”",
978,7,24,"Allah said, “Get down as enemies to one another. You will find a dwelling place on earth and provision for an appointed time.”",
979,7,25,"He said, “There you will live, and there you will die, and from there you will be raised again.”",
980,7,26,"O children of Adam, We have given you garments that cover your private parts and as an adornment. However, the garment of piety – that is best. That is one of the signs of Allah, so that they may take heed.",
981,7,27,"O children of Adam, do not let Satan seduce you as he caused your parents to be expelled from the Garden, stripping them of their garments and making their private parts visible to them. He and his offspring see you from where you cannot see them. We have made devils allies to those who disbelieve.",
982,7,28,"When they commit a shameful act[6], they say, “We found our forefathers doing it, and Allah has enjoined it upon us.” Say, “Allah never enjoins shameful acts. Do you say about Allah something of which you have no knowledge?”",[6] The heathen practice of the Arabs who used to associate others with Allah and circumambulate around the Ka‘bah naked.
983,7,29,"Say [O Prophet], “My Lord has enjoined doing what is right; direct your faces [to Him alone] wherever you pray; call upon Him with sincere devotion to Him. Just as He created you first, so you will be brought back to life.”",
984,7,30,"A group He has guided, and another group deserved to go stray. They have taken devils as their guardians instead of Allah, thinking that they are guided.",
985,7,31,"O children of Adam, dress well for every prayer[7]. Eat and drink, but do not waste, for He does not like the wasteful.",[7] It is obligatory to wear the clothes while praying.
986,7,32,"Say, “Who has forbidden the adornments and lawful provisions[8] that Allah has brought forth for His slaves?” Say, “They are for the believers in the life of this world, and they will be exclusively for them on the Day of Resurrection. This is how We make the verses clear for people who have knowledge.”",[8] These adornments and lawful provisions may be enjoyed by both the believers and the disbelievers only in this life.
987,7,33,"Say, “My Lord has forbidden shameful acts[9] done openly or in secret, sinfulness, unjustified aggression, associating partners with Allah for which He has not sent down any authority, and saying about Allah that of which you have no knowledge.”","[9] i.e., all unlawful acts."
988,7,34,"Each nation has its appointed time. When their appointed time comes, they cannot delay it for a moment or bring it forward.",
989,7,35,"O children of Adam, when there come to you messengers from among you, reciting My verses to you – then whoever fears Allah and mends his ways, they will have no fear, nor will they grieve[10].",[10] They need not worry about the future or their past sins.
990,7,36,"But those who reject Our verses and show arrogance towards them, they are the people of the Fire, they will abide therein forever.",
991,7,37,"Who does greater wrong than the one who fabricates lies against Allah or rejects His verses? They will receive the share that is destined for them, until when Our angel-messengers come to take their souls, saying, “Where are those whom you used to invoke besides Allah?” They will say, “They are lost from us,” and they will testify against themselves that they were disbelievers.",
992,7,38,"Allah will say, “Enter the Fire along with nations of jinn and humans who have passed on before you.” Every time a nation enters, it will curse the preceding one until they are all gathered inside, the followers will say about their leaders, “Our Lord, they have led us astray, so give them a double punishment of the Fire.” He will say, “Each will have a double punishment, but you do not know.”",
993,7,39,"The leaders will say to their followers, “You were no better than us, so taste the punishment for what you used to do.”",
994,7,40,"Those who reject Our verses and show arrogance towards them, the gates of heaven will not be opened for them[11], nor will they enter Paradise until a camel can pass through the eye of a needle. This is how We recompense the wicked.",[11] The doors of heaven will be shut for them.
995,7,41,Hell will be their resting place and above them will be coverings [of fire]. This is how We recompense the wrongdoers.,
996,7,42,"As for those who believe and do righteous deeds – We do not burden a soul more than what it can bear – they are the people of Paradise, they will abide therein forever.",
997,7,43,"We will remove all ill feelings from their hearts[12] and rivers will flow beneath them. They will say, “All praise be to Allah Who has guided us to this, for We would not have been guided to this if Allah had not guided us. The messengers of our Lord came with the truth.” They will be called, “This is Paradise that you are made to inherit for what you used to do.”","[12] i.e., all ill thoughts or sense of injury they might have had during worldly life."
998,7,44,"The people of Paradise will call out to the people of Hell, “We have surely found our Lord’s promise to be true. Have you also found your Lord’s promise to be true[13]?” They will say, “Yes.” Then a caller will announce among them, “May Allah’s curse be upon the wrongdoers,","[13] After enduring ridicule from disbelievers, it is now the turn of believers to ridicule those who hurt them."
999,7,45,"those who prevent [people] from the way of Allah, seeking to make it crooked, and who disbelieve in the Hereafter.”",
1000,7,46,"Between them there will be a barrier[14], and on its Heights there will be men[15] who will recognize each group by their marks. They will call out to the people of Paradise, “Peace be on you.” They will not have entered it, yet they will eagerly hope [to enter].","[14] The inhabitants of Paradise and those of Hell.
 [15] Those whose scales of good and bad deeds are equal."
1001,7,47,"And when their eyes are turned towards the people of Hell, they will say, “Our Lord, do not join us with the wrongdoing people.”",
1002,7,48,"The people of the Heights will call out to some men whom they recognize by their marks, saying, “Neither your great numbers[16] nor your arrogance were of any avail to you.”",[16] Or your accumulating wealth.
1003,7,49,"“Are these the ones whom you swore that Allah would never grant mercy?” “Enter Paradise; you will have no fear, nor will you grieve.”",
1004,7,50,"The people of the Fire will call out to the people of Paradise, “Send down to us some water or any provision that Allah has given you.” They will say, “Allah has forbidden both to the disbelievers,",
1005,7,51,"those who took their religion as amusement and play[17], and were deceived by the life of this world. Today We will ignore them just as they ignored their meeting of this Day and because they used to reject Our verses.”","[17] “When you call for prayer, they ridicule it and make fun of it.” See 5:58."
1006,7,52,"We have brought them a Book which We have explained in detail on the basis of knowledge, as guidance and mercy for people who believe.",
1007,7,53,"Are they waiting except for the fulfillment [of its warning][18]? On the Day when it is fulfilled, those who ignored it before will say, “The messengers of our Lord surely came with the truth. Are there any intercessors who can intercede on our behalf? Or can we be sent back so that we may do other than what we used to do?” In fact, they will have ruined themselves and all that they used to fabricate will be lost from them.","[18] i.e., the coming of resurrection and punishment."
1008,7,54,"Your Lord is Allah, Who created the heavens and earth in six days and then rose over [i.e., istawa] the Throne[19]. He makes the night and day overlap in rapid succession. He made the sun, the moon, and the stars – all subservient to His command. Behold, His is the creation and the command. Blessed is Allah, the Lord of the worlds.","[19] The verb ‘istawa’ literally means rose and ascended in a manner befitting His Majesty, unlike any of His creation."
1009,7,55,"Call upon your Lord humbly and privately, for He does not like the transgressors.",
1010,7,56,"Do not spread corruption on earth after it has been set aright, but call upon Him with fear and hope[20]. Indeed, the mercy of Allah is close to those who do good.","[20] i.e., not to be too sure of oneself while supplicating, gloating over good deeds, or despairing of His Mercy."
1011,7,57,"It is He Who sends the winds as glad tidings ahead of His Mercy, until when they bear heavy clouds, We drive them to a lifeless land then We send down rain from it, producing thereby every kind of fruit. This is how We raise the dead, so that you may take heed.",
1012,7,58,"Good land produces its vegetation by the Will of its Lord, but bad land only produces poor and scanty vegetation[21]. This is how We diversify the signs for people who give thanks.","[21] The ‘good land’ and ‘evil land’: The believers benefit from Allah’s signs are the ‘good’ ones, while disbelievers do not benefit are the ‘evil’ ones."
1013,7,59,"Indeed, We sent Noah to his people. He said, “O my people, worship Allah; you have no god other than Him. I fear for you the punishment of a momentous Day.”",
1014,7,60,"The chiefs of his people said, “We certainly see that you are clearly misguided.”",
1015,7,61,"He said, “O my people, I am not misguided, but I am a messenger from the Lord of the worlds.",
1016,7,62,"I convey to you the messages of my Lord and give you sincere advice, and I know from Allah what you do not know.",
1017,7,63,"Are you surprised that a reminder should come to you from your Lord through a man from among yourselves, so that he may warn you and you may fear Allah, and so that you may be shown mercy?”",
1018,7,64,"But they rejected him, so We delivered him and those who were with him in the Ark, and We drowned those who rejected Our signs[22]. They were indeed people who were blind [to the truth].",[22] For more detail see 11:25-48.
1019,7,65,"To the people of ‘Ād We sent their brother Hūd. He said, “O my people, worship Allah; you have no god other than Him. Will you not then fear Him?”",
1020,7,66,"The disbelieving chiefs of his people said, “Indeed, we see you as foolish, and we think you are one of the liars.”",
1021,7,67,"He said, “O my people, there is no foolishness in me[23], but I am a messenger from the Lord of the worlds,","[23] This calm, well-poised answer is a great example of how to deal with the ignorant."
1022,7,68,"I convey to you the messages of my Lord, and I am your sincere adviser.",
1023,7,69,"Are you surprised that a reminder should come to you from your Lord through a man from among yourselves? Remember when He made you successors after the people of Noah and increased you amply in stature. Remember Allah’s favors, so that you may be successful.”",
1024,7,70,"They said, “Have you come to tell us that we should worship Allah alone and abandon what our forefathers used to worship? Bring upon us what you are threatening us with[24] if you are truthful.”","[24] i.e., Allah’s punishment."
1025,7,71,"He said, “You are definitely going to be subjected to the punishment and wrath of your Lord. Do you dispute with me concerning mere names[25] that you and your forefathers have made up which Allah has never authorized? Then wait; I am too waiting with you.”","[25] i.e., false objects of worship."
1026,7,72,"Then We saved him[26] and those who were with him by Our mercy, and exterminated all those who rejected Our signs[27], for they would not believe.","[26] i.e., Prophet Hūd.
 [27] i.e., the people of ‘Ād."
1027,7,73,"And to the people of Thamūd [We sent] their brother, Sālih. He said, “O my people, worship Allah; you have no god other than Him. There has come to you a clear proof from your Lord: this is a she-camel[28] of Allah, as a sign to you. So leave her to graze in Allah’s land, and do not harm her in any way, or else a painful punishment will seize you.",[28] For more detail see 26:155-156.
1028,7,74,"Remember when He made you successors after ‘Ād and settled you in the land; you make palaces on its plains and carve homes in the mountains. So remember the bounties of Allah, and do not spread corruption in the land.”",
1029,7,75,"The arrogant chiefs of his people said to those believers who were oppressed, “Do you really know that Sālih has been sent by his Lord?” They said, “We surely believe in what he has been sent with.”",
1030,7,76,"Those who were arrogant said, “As for us, we surely disbelieve in what you believe.”",
1031,7,77,"Then they killed the she-camel and defied their Lord’s command, and said, “Bring us what you are threatening us if you are indeed one of the messengers.”",
1032,7,78,"Then an earthquake seized them, and they fell lifeless in their homes.",
1033,7,79,"So he turned away from them, saying, “O my people, I did convey my Lord’s message to you and gave you sincere advice, but you do not like sincere advisers.”",
1034,7,80,"And [We sent] Lot, when he said to his people, “Do you commit such a shameful act[29] that nobody has ever done before you?","[29] The only messenger mentioned here did not begin his call to worship Allah alone, due to the sheer vileness they were involved in, namely, sodomy."
1035,7,81,For you approach men lustfully instead of women; you are but a transgressing people[30].”,[30] Because they transgressed the limits of moderation.
1036,7,82,"The only reply his people gave was to say, “Drive them out of your town, for they are people who keep themselves pure[31]!”",[31] Their only charge was that they were ‘pure’.
1037,7,83,So We saved him and his family except his wife[32]; she was one of those who remained behind.,"[32] Because she condoned the degrading behavior of her people, and she was a disbeliever."
1038,7,84,And We rained down upon them a rain [of brimstone]. So see how was the end of the evildoers.,
1039,7,85,"And to the people of Midian [We sent] their brother Shu‘ayb. He said, “O my people, worship Allah; you have no god other than Him. There has come to you a clear proof from your Lord. Give full measure and weight, and do not defraud people of their property[33], and do not spread corruption in the land after it has been set aright. That is best for you, if you are [truly] believers.",[33] Their sin was wantonly engaging in swindling defraud in dealings.
1040,7,86,"Do not lie in wait on every path, threatening and preventing from Allah’s path[34] those who believe in Him, and seeking to make it crooked. Remember when you were few, then He increased you in number. See how was the end of those who spread corruption.",[34] They were also engaged in highway robberies and preventing people from listening to Shu‘ayb.
1041,7,87,"If there are some among you who believe in what I have been sent with, while others do not believe, then be patient until Allah judges between us, and He is the Best of Judges.”",
1042,7,88,"The arrogant chiefs of his people said, “O Shu‘ayb, we will surely drive you and those who believe with you out of our town unless you return to our faith.” He said, “Even if we detest it?",
1043,7,89,"We would be fabricating lies against Allah if we were to return to your faith after Allah has saved us from it. We will not return to it unless Our Lord Allah so wills. Our Lord has full knowledge of everything. In Allah we put our trust. Our Lord, judge between us and our people with truth, for You are the Best of the Judges.”",
1044,7,90,"The disbelieving chiefs of his people said, “If you follow Shu‘ayb, you will certainly be losers[35].”",[35] In financial terms.
1045,7,91,Then they were seized by the earthquake and they fell lifeless in their homes.,
1046,7,92,Those who rejected Shu‘ayb became as if they had never lived there. Those who rejected Shu‘ayb were themselves the losers[36].,"[36] Not the believers as they claimed, as they lost both worlds."
1047,7,93,"So he turned away from them and said, “O my people, I did convey to you the messages of my Lord, and gave you sincere advice. Why should I grieve for a disbelieving people?”",
1048,7,94,"We have not sent any prophet to a town, but We seized its people with poverty and adversity, so that they may humble themselves.",
1049,7,95,"Then We changed their adversity into prosperity until they flourished and said, “Our forefathers were also afflicted with hardship and ease.” Then We seized them by surprise while they were unaware.",
1050,7,96,"If only the people of the towns had believed and feared Allah, We would have certainly opened for them blessings from the heaven and earth. But they disbelieved, so We seized them for what they earned.",
1051,7,97,Do the people of the towns feel secure that Our punishment will not befall them by night while they are asleep?,
1052,7,98,Or do the people of the towns feel secure that Our punishment will not befall them by day while they are at play?,
1053,7,99,Do they feel secure from the plan of Allah? None can feel secure from the plan of Allah[37] except the loser people.,"[37] Even the most devout believers, as hearts are between the two Fingers of Allah, He directs it wherever He wishes."
1054,7,100,"Is it not clear to those who inherit the land after its former people that, if We so willed, We could punish them for their sins and seal up their hearts so that they do not hear[38]?",[38] For they do not benefit from what they hear.
1055,7,101,"These are the towns, some of whose stories We relate to you. Their messengers came to them with clear proofs, but they were not about to believe in what they had already rejected[39]. This is how Allah seals up the hearts of the disbelievers.","[39] i.e., they persistently denied warnings given to them."
1056,7,102,We did not find most of them committed to their covenant; rather We found most of them rebellious.,
1057,7,103,"Then We sent after them Moses[40] with Our signs to Pharaoh and his chiefs, but they wrongfully rejected them. See how was the end of those who spread corruption.","[40] Moses’ story is recounted in detail in many surahs, for his mission bears the most similarities with that of the Prophet (ﷺ)."
1058,7,104,"Moses said, “O Pharaoh, I am a messenger from the Lord of the worlds.",
1059,7,105,"I am obliged to say nothing concerning Allah except the truth. I have come to you with clear proof from your Lord, so let the Children of Israel go[41] with me.”","[41] i.e., let them emigrate."
1060,7,106,"Pharaoh said, “If you have brought a sign, then bring it forth if you are truthful.”",
1061,7,107,"So he threw his staff, and it suddenly became a real serpent[42].","[42] As a miracle from Allah. In ancient Egypt, the cobra snake, known as the uraeus, was used as a symbol of sovereignty and divine authority worn on the headdresses and crowns."
1062,7,108,"And he drew out his hand, and it was shining white[43] to the beholders.","[43] As a miracle from Allah. The hands of the Children of Israel used to be rough and scratchy out of labor and toil for their masters, for they were bondsmen and slaves."
1063,7,109,"The chiefs among Pharaoh’s people said, “This is indeed a learned magician!",
1064,7,110,"He seeks to drive you out of your land. [Pharaoh said], “So what do you advise?”",
1065,7,111,"They said, “Let him and his brother wait for a while and send heralds to the cities",
1066,7,112,to bring you every learned magician.”,
1067,7,113,"The magicians came to Pharaoh and said, “Will we have a reward if we prevail?”",
1068,7,114,"He said, “Yes, and you will surely be of those who are close to me.”",
1069,7,115,"They said, “O Moses, will you throw first or will we be the first to throw?”",
1070,7,116,"He said, “You throw first.” So when they threw, they enchanted the eyes of the people and struck terror into them, and produced a powerful magic.",
1071,7,117,"We inspired Moses, “Throw your staff,” and it suddenly swallowed up all their illusionary devices.",
